method,split,risk_budget,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate,mean_max_stretch,ci95_max_stretch,mean_strain_energy,ci95_strain_energy
safety_constrained_particle_filter,hidden_strain_memory,0.40,8,0.50000,0.06548,0.14418,0.00231,0.21857,0.03071,0.04034,0.02568,0.60938,0.03062,0.50000,0.06548,0.23438,0.05551,0.01120,0.00107,0.03255,0.03390,0.01562,0.03062,2.36259,0.04786,1.17573,0.02282
safety_constrained_particle_filter,occluded_contact_memory,0.10,8,0.40625,0.10091,0.14387,0.00239,0.20145,0.02498,0.05155,0.01560,0.46875,0.06125,0.59375,0.10091,0.29688,0.07936,0.01615,0.00102,0.06745,0.03244,0.00000,0.00000,2.36531,0.07120,1.16984,0.03253
safety_constrained_particle_filter,occluded_contact_memory,0.20,8,0.40625,0.10091,0.14383,0.00244,0.20145,0.02498,0.05155,0.01560,0.46875,0.06125,0.59375,0.10091,0.29688,0.07936,0.01485,0.00121,0.07292,0.03775,0.10938,0.07229,2.36505,0.07419,1.15584,0.03811
safety_constrained_particle_filter,occluded_contact_memory,0.30,8,0.40625,0.10091,0.14383,0.00244,0.20145,0.02498,0.05155,0.01560,0.46875,0.06125,0.59375,0.10091,0.29688,0.07936,0.01485,0.00121,0.07292,0.03775,0.10938,0.07229,2.36505,0.07419,1.15584,0.03811
safety_constrained_particle_filter,occluded_contact_memory,0.40,8,0.40625,0.10091,0.14383,0.00244,0.20145,0.02498,0.05155,0.01560,0.46875,0.06125,0.59375,0.10091,0.29688,0.07936,0.01485,0.00121,0.07292,0.03775,0.10938,0.07229,2.36505,0.07419,1.15584,0.03811
visible_state_mpc,combined_memory_stress,0.10,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
visible_state_mpc,combined_memory_stress,0.20,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
visible_state_mpc,combined_memory_stress,0.30,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
visible_state_mpc,combined_memory_stress,0.40,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
visible_state_mpc,hidden_strain_memory,0.10,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
visible_state_mpc,hidden_strain_memory,0.20,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
visible_state_mpc,hidden_strain_memory,0.30,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
visible_state_mpc,hidden_strain_memory,0.40,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
visible_state_mpc,occluded_contact_memory,0.10,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
visible_state_mpc,occluded_contact_memory,0.20,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
visible_state_mpc,occluded_contact_memory,0.30,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
visible_state_mpc,occluded_contact_memory,0.40,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
